Stores,Store Code,Description,Barcode,Retail Price,Sold Price,Last Sold,Avg Wkly Sales,Competitor,Price Check Date,Competitor Price,Diff (€),Diff (%),Match Cost (PW),Offer,Details
5,50861,AVONMORE FRESH MILK PLASTIC 2LTR,5011056020053,1.99,1.99,23/02/2018,430,Tesco Ireland Website,25/02/2018,1.89,0.1,0.0529,43,,
5,107086,PAT THE BAKER WHOLEMEAL 100% 800G,5011041000633,1.89,1.49,23/02/2018,356,Super Value Website,25/02/2018,1.39,0.1,0.0719,35.6,Special Offer,Feb 15th - Mar 7th
5,8687,JAMESON WHISKEY  70CL,5011007003005,29.99,27.99,23/02/2018,349,Tesco Ireland Website,25/02/2018,25,2.99,0.1196,1043.51,SAVE 4.99 Was 29.99 Now 25.00,valid from 21/2/2018 until 10/3/2018
5,57443,CULLY & SULLY CHICK/VEG SOUP  400G,5391511420209,2.49,2.49,23/02/2018,322,Super Value Website,25/02/2018,2,0.49,0.245,157.78,Special Offer,Feb 15th - Mar 6th
4,10334,CDF CROISSANT ALL BUTTER,5098807002728,0.9,0.9,23/02/2018,292,Super Value Website,25/02/2018,0.8,0.1,0.125,29.2,,
5,71082,CULLY & SULLY VEGETABLE SOUP 400G,5391511420346,2.49,2.49,23/02/2018,235,Super Value Website,25/02/2018,2,0.3773,0.1886,88.6655,Special Offer,Feb 15th - Mar 6th
5,10947,CLONAKILTY ISPINI SAUSAGES 454G,5099490000305,3.25,3.25,23/02/2018,222,Tesco Ireland Website,25/02/2018,2.5,0.75,0.3,166.5,SAVE 75c Was 3.25 Now 2.50,valid from 31/1/2018 until 27/2/2018
5,8078,NESTLE AFTER EIGHT MINTS 300G,5000426171518,6.5,3,23/02/2018,200,Tesco Ireland Website,25/02/2018,2.24,0.76,0.3392,152,HALF PRICE Was 4.49 Now 2....,valid from 16/2/2018 until 1/3/2018
5,208401,TAYTO CHEESE/ONION 35G,5011096008394,0.99,0.99,23/02/2018,196,Tesco Ireland Website,25/02/2018,0.85,0.14,0.1647,27.44,,
5,50869,AVONMORE LOW FAT MILK PLASTIC 2LTR,5011056020220,1.99,1.99,23/02/2018,196,Super Value Website,25/02/2018,1.89,0.1,0.0529,19.6,,
